sample_size,missing_type,missing_percentage,imputation_method,average_relative_bias_NDE,average_relative_bias_NIE,coverage_probability_NDE,coverage_probability_NIE,
1000,MNAR,0.05,fiml,-0.001648977,-0.00345935,0.93,0.96,
1000,MNAR,0.05,knn100,0.002033613,-0.014022912,0.93,0.85,
1000,MNAR,0.05,knn500,-0.001207984,-0.004382744,0.93,0.85,
1000,MNAR,0.05,mi,0.012777662,-0.009678257,0.94,0.9,
1000,MNAR,0.05,rf_flexible,-0.001798861,-0.003819267,0.93,0.84,
1000,MNAR,0.05,rf_less_flexible,-0.000498624,-0.007318511,0.92,0.85,
1000,MNAR,0.1,fiml,0.00324137,-0.014284452,0.95,0.95,
1000,MNAR,0.1,knn100,0.014035884,-0.043386253,0.97,0.88,
1000,MNAR,0.1,knn500,0.007843059,-0.02645776,0.96,0.91,
1000,MNAR,0.1,mi,0.013491094,-0.004108201,0.95,0.89,
1000,MNAR,0.1,rf_flexible,0.003265453,-0.014064318,0.96,0.88,
1000,MNAR,0.1,rf_less_flexible,0.008478921,-0.028194397,0.94,0.9,
1000,MNAR,0.15,fiml,0.00956533,0.010478551,0.89,0.97,
1000,MNAR,0.15,knn100,0.024461859,-0.03030077,0.9,0.89,
1000,MNAR,0.15,knn500,0.013629379,-0.002413406,0.92,0.91,
1000,MNAR,0.15,mi,0.020239953,0.014800725,0.89,0.87,
1000,MNAR,0.15,rf_flexible,0.010501489,0.008643286,0.9,0.91,
1000,MNAR,0.15,rf_less_flexible,0.018339638,-0.016071757,0.9,0.93,
1000,MNAR,0.2,fiml,0.003202895,-0.001300967,0.93,0.96,
1000,MNAR,0.2,knn100,0.024612252,-0.057941253,0.91,0.82,
1000,MNAR,0.2,knn500,0.009648184,-0.020213485,0.91,0.86,
1000,MNAR,0.2,mi,0.014969025,0.003470332,0.94,0.89,
1000,MNAR,0.2,rf_flexible,0.007748091,-0.013377585,0.93,0.89,
1000,MNAR,0.2,rf_less_flexible,0.015211759,-0.03545791,0.92,0.85,
1000,MNAR,0.25,fiml,-0.006341182,-0.011083292,0.95,1,
1000,MNAR,0.25,knn100,0.014675605,-0.068068376,0.96,0.9,
1000,MNAR,0.25,knn500,-0.002268247,-0.022777225,0.97,0.91,
1000,MNAR,0.25,mi,0.0012442,0.004981335,0.92,0.9,
1000,MNAR,0.25,rf_flexible,-0.00633918,-0.01202636,0.94,0.93,
1000,MNAR,0.25,rf_less_flexible,0.003660676,-0.041615824,0.95,0.91,
1000,MNAR,0.3,fiml,0.002002472,0.000210066,0.91,0.98,
