"missing_percentage","imputation_method","avg_relative_bias"
0.05,"fiml",0.016976053913147
0.05,"knn25",0.0167137250123225
0.05,"knn5",0.0172773574195802
0.05,"mi",0.0169215113609483
0.05,"rf_flexible",0.0170081946342547
0.05,"rf_less_flexible",0.0171538719364558
0.1,"fiml",-0.0165341359272602
0.1,"knn25",-0.0180138800196666
0.1,"knn5",-0.0173983400268121
0.1,"mi",-0.0163371863768133
0.1,"rf_flexible",-0.0173254920741064
0.1,"rf_less_flexible",-0.0176067408392662
0.15,"fiml",-0.00216884513043576
0.15,"knn25",-0.00439565723235489
0.15,"knn5",-0.00248864276463859
0.15,"mi",-0.00266362590971787
0.15,"rf_flexible",-0.00558016911987332
0.15,"rf_less_flexible",-0.0053173744931197
0.2,"fiml",0.00446978589378048
0.2,"knn25",0.00436047118415298
0.2,"knn5",0.00353548193544298
0.2,"mi",0.00563934078296083
0.2,"rf_flexible",0.00222159876473262
0.2,"rf_less_flexible",0.00296510409271434
0.25,"fiml",-0.00736442060216053
0.25,"knn25",-0.00749483957275153
0.25,"knn5",-0.00629134152006161
0.25,"mi",-0.00624731936734125
0.25,"rf_flexible",-0.0083670343393417
0.25,"rf_less_flexible",-0.00881129902119733
0.3,"fiml",-0.00473258012242489
0.3,"knn25",-0.00472062316584173
0.3,"knn5",-0.00437946490167224
0.3,"mi",-0.00321088087056342
0.3,"rf_flexible",-0.00852982709305384
0.3,"rf_less_flexible",-0.00811047560693792
