"missing_percentage","imputation_method","avg_relative_bias_NDE","avg_relative_bias_NIE"
0.05,"fiml",0.0116500622403357,-1.66211234775831
0.05,"knn25",0.0127426529338545,-0.987708432826954
0.05,"knn5",0.0179909026004186,-0.693052725882945
0.05,"mi",0.0179006817639023,-0.273161161616648
0.05,"rf_flexible",0.0121761816918556,-0.984576351843156
0.05,"rf_less_flexible",0.0141130938940764,-0.482957425785926
0.1,"fiml",-0.0193396116820041,0.293830266125945
0.1,"knn25",-0.0150297598766578,0.261798563350779
0.1,"knn5",-0.012649700248832,0.25427831217258
0.1,"mi",0.00796132889246782,0.199495084551194
0.1,"rf_flexible",-0.0218698300201067,0.276059118931176
0.1,"rf_less_flexible",-0.0182305645396277,0.260843179812591
0.15,"fiml",0.0534819295539596,0.0308208295624543
0.15,"knn25",0.0516474730519723,0.0123429531318834
0.15,"knn5",0.066745641768496,-0.0239235152604707
0.15,"mi",0.0777455620444447,-0.0532596723494354
0.15,"rf_flexible",0.0593968525601762,-0.0112679407521538
0.15,"rf_less_flexible",0.0575423601319503,0.00863166564632219
0.2,"fiml",0.00708059168326163,0.145697507903169
0.2,"knn25",0.00858271860951516,0.168908705790361
0.2,"knn5",0.021332051766943,0.103721838908421
0.2,"mi",0.0280296362877936,0.180912902099993
0.2,"rf_flexible",0.0120256204907204,0.130028992027821
0.2,"rf_less_flexible",0.0145014672440099,0.139011331301493
0.25,"fiml",0.0309530037250163,0.427447140743005
0.25,"knn25",0.0327659489424663,0.379998554369236
0.25,"knn5",0.0531551937576558,0.327184734376126
0.25,"mi",0.0270340373226906,0.535538603165506
0.25,"rf_flexible",0.0389451740093668,0.34896020353615
0.25,"rf_less_flexible",0.0395559078104204,0.346734621736392
0.3,"fiml",0.0264511210665926,0.554458472889509
0.3,"knn25",0.0328854421448415,0.489435295072443
0.3,"knn5",0.0489681208862783,0.46052301040601
0.3,"mi",0.0246729346990239,0.367753574255062
0.3,"rf_flexible",0.035310894315596,0.471608357473811
0.3,"rf_less_flexible",0.0360448805482253,0.45493875342763
