"missing_percentage","imputation_method","coverage_prob_NDE","coverage_prob_NIE"
0.05,"fiml",0.94,0.96
0.05,"knn25",0.93,0.97
0.05,"knn5",0.93,0.97
0.05,"mi",0.96,0.93
0.05,"rf_flexible",0.93,0.98
0.05,"rf_less_flexible",0.93,0.96
0.1,"fiml",0.9,0.97
0.1,"knn25",0.92,0.92
0.1,"knn5",0.93,0.91
0.1,"mi",0.92,0.9
0.1,"rf_flexible",0.92,0.94
0.1,"rf_less_flexible",0.91,0.94
0.15,"fiml",0.86,0.92
0.15,"knn25",0.93,0.89
0.15,"knn5",0.91,0.89
0.15,"mi",0.88,0.87
0.15,"rf_flexible",0.92,0.91
0.15,"rf_less_flexible",0.9,0.9
0.2,"fiml",0.89,0.98
0.2,"knn25",0.89,0.95
0.2,"knn5",0.88,0.95
0.2,"mi",0.9,0.89
0.2,"rf_flexible",0.88,0.94
0.2,"rf_less_flexible",0.88,0.94
0.25,"fiml",0.87,0.97
0.25,"knn25",0.91,0.93
0.25,"knn5",0.89,0.91
0.25,"mi",0.88,0.9
0.25,"rf_flexible",0.91,0.93
0.25,"rf_less_flexible",0.91,0.91
0.3,"fiml",0.9,0.97
0.3,"knn25",0.93,0.92
0.3,"knn5",0.93,0.95
0.3,"mi",0.89,0.86
0.3,"rf_flexible",0.93,0.96
0.3,"rf_less_flexible",0.94,0.95
